index,true_label,model_prob,local_fidelity_r2
209,1,0.9050636887550354,0.6257997144967207
1999,0,0.24363645911216736,0.6478899785973007
2127,1,1.0,1.0
2416,0,0.28228214383125305,0.5034657114065417
3646,0,0.41989824175834656,0.6489115773151577
3794,0,0.25452473759651184,0.6667601297162933
4031,1,0.7088209390640259,0.8098546500288457
4413,0,0.9996851682662964,0.1381502337404863
4514,1,0.119486965239048,0.5913176662804456
5168,0,0.4101541042327881,0.6678699428097481
5515,0,0.43710458278656006,0.6743153075819123
5744,0,0.27706414461135864,0.5321675977266623
6927,0,0.12384622544050217,0.6124759234169208
8206,0,0.17778024077415466,0.6181481635365194
8541,1,0.9999998807907104,0.5315198622417043
9056,0,0.30972617864608765,0.6787736960662378
9338,1,0.7815171480178833,0.6265657526341563
9467,0,1.0,0.26769486915351304
10342,1,0.626834511756897,0.6431688459877432
10570,0,0.14052699506282806,0.5889219720443033
10954,0,0.3743033707141876,0.6477826145561002
11141,0,0.6514449715614319,0.6864662230660452
12235,0,0.08079009503126144,0.657821870938956
12385,1,1.0,0.44926996951075693
12999,1,1.0,1.0
13683,1,0.26228705048561096,0.581597319544898
14043,1,1.0,0.09311051728135677
14482,0,0.8946132659912109,0.5367095591435502
14579,0,0.9403754472732544,0.80137005145938
14594,0,0.5436979532241821,0.7475860497269822
14615,1,0.8050851225852966,0.6324308756402017
15069,0,0.9440389275550842,0.4889039619797644
15245,1,0.22250835597515106,0.6068718216505264
15942,0,0.328329473733902,0.6719768260127957
16133,1,0.9999210834503174,0.12117754607399867
16334,1,0.8091652989387512,0.8120128300472141
16801,1,1.0,1.0
16863,0,0.9999997615814209,0.0887863833962117
17052,0,0.9998444318771362,0.18508926981309526
19024,1,0.900313138961792,0.6503924529622616
19327,0,0.156324565410614,0.4891617824541913
19416,1,1.0,0.613004636259757
19739,1,0.9999997615814209,0.5137927316679045
20437,0,0.3338638246059418,0.6569060482262521
20785,1,1.0,0.1702188878852524
21917,0,0.6478338837623596,0.7790326477503275
21922,0,1.0,0.529367782990712
21996,0,0.8190288543701172,0.7186940031312181
22061,0,0.3810795843601227,0.5962044730514258
24072,0,0.24986235797405243,0.6832271920318886
24388,1,1.0,0.17696462947313207
24407,0,0.4220898151397705,0.6554194099397721
24439,0,0.9999997615814209,0.29495159776687085
24707,1,1.0,1.0
24838,1,1.0,0.43690382312826836
25290,1,0.9688925743103027,0.6876109173014
26521,0,0.5618666410446167,0.39592972575428165
27741,0,0.12610264122486115,0.618240371479539
28524,1,0.9999996423721313,0.727199544142273
29893,1,1.0,1.0
30469,1,0.9599636793136597,0.6335865632328174
31152,0,0.18892085552215576,0.5405446614619653
32165,1,0.8806136250495911,0.6827328964269277
32217,1,0.9999994039535522,0.2631318982171973
32543,1,1.0,0.564042814328966
32566,1,0.38994720578193665,0.6407444195115468
32772,1,0.9999994039535522,0.7294506860537813
33521,0,0.3743443787097931,0.6210330519447155
33782,1,0.4392935037612915,0.5701429947206575
34385,0,0.38260945677757263,0.5222459964934725
34887,0,0.1598992645740509,0.5725100679366302
34985,1,0.6914705038070679,0.6312657936127978
35215,1,0.44723618030548096,0.48930549634961384
36588,0,0.697843074798584,0.48353787677921345
38375,0,0.5489376187324524,0.6093531059661371
38559,1,0.8977689743041992,0.6457184099803366
38639,1,0.9416053891181946,0.40192142138709275
39439,1,0.9129681587219238,0.5511867156902903
39729,0,0.6674970984458923,0.6791367699655422
40056,0,0.20804600417613983,0.6141465799363247
40595,1,1.0,1.0
41030,0,1.0,0.24010080028863412
41794,1,1.0,0.37384502589754853
42430,1,0.8629598021507263,0.638222024951466
42480,1,0.674604594707489,0.722787489996666
42618,0,0.2899343967437744,0.5867793438682287
43296,1,1.0,1.0
43442,1,0.42613568902015686,0.6058529369217431
44120,1,0.7603180408477783,0.6259802899582654
44524,0,0.22837071120738983,0.6167603315842279
45560,1,0.6416518092155457,0.5478030219492456
45704,1,1.0,0.09945921915636957
46122,0,0.35202595591545105,0.5914200900387804
48146,0,0.5773686170578003,0.7531132953473807
48901,1,0.8260840177536011,0.46846952047713764
49361,0,0.6685092449188232,0.4780919928459635
50755,1,0.7583534121513367,0.5951724747858127
50823,0,0.457211434841156,0.6223935115005244
50881,1,0.9999995231628418,0.590097569505948
51418,1,0.8917962908744812,0.5876859490904278
52343,1,0.972531259059906,0.7724708129989788
53714,0,0.24078808724880219,0.6555666890127152
53769,0,0.5552102327346802,0.6254787404795099
54305,0,0.4771527647972107,0.6068274876018227
54550,0,0.12325383722782135,0.54826132567796
54965,0,0.6696829199790955,0.8241909216240655
55491,0,0.36036714911460876,0.5265105950894385
56215,0,0.16671061515808105,0.6428125179352824
56500,1,0.9489303827285767,0.47955871520682725
56732,0,1.0,0.22620138863223882
56770,1,0.9999973773956299,0.17257109170648222
57407,1,1.0,0.21374797201194928
57828,1,1.0,1.0
58018,1,1.0,1.0
58073,1,1.0,1.0
58556,0,0.21898117661476135,0.6014388186325453
59100,1,1.0,1.0
60217,1,0.9517960548400879,0.6508344890994692
61283,0,0.1812293529510498,0.6175943470457432
61299,0,0.43527328968048096,0.6548281419577631
61390,0,0.5575788021087646,0.6776447520477453
61635,1,0.9489562511444092,0.752354405155583
61994,1,1.0,1.0
62281,1,0.9708570837974548,0.6411924552618052
62655,1,1.0,1.0
63063,1,0.9999997615814209,0.6823305211741809
64155,0,0.9996053576469421,0.08579055020439519
65216,0,1.0,0.20884679539888318
65571,0,0.1383650004863739,0.5943188843251874
66370,1,0.9999997615814209,0.32319482164066593
66633,0,0.42841896414756775,0.7001200016895937
67911,1,1.0,0.6382869029348549
68270,1,1.0,0.26589176017475047
68600,1,0.8685466647148132,0.753014035413289
68887,1,0.4181953966617584,0.7201688966043096
69866,0,0.23772390186786652,0.6864794809980954
70390,1,0.5888257026672363,0.6477747342543596
70591,0,0.3161373436450958,0.6543427115207319
70896,1,1.0,1.0
70938,1,0.9999909400939941,0.18759717895807448
71083,0,0.36754560470581055,0.6344913465486866
71336,0,0.1253979653120041,0.5150489017212263
72774,0,0.21643559634685516,0.6671701200551653
72796,1,0.8982641696929932,0.6680692578749374
73394,0,0.14862722158432007,0.6421360389603932
73716,0,0.26082098484039307,0.700604925922014
75885,1,0.2385282963514328,0.5582991259611593
77077,1,0.9656872153282166,0.7715178388435318
77313,1,1.0,0.13468599975763162
78230,1,0.9280490875244141,0.5352608575292582
80502,0,1.0,0.4059055673797094
81390,0,0.9999603033065796,0.7552451397066555
82463,0,0.16474469006061554,0.553643759534398
83555,1,1.0,0.19158911174834992
83916,1,0.9538038969039917,0.7891619616902787
84249,0,0.3485656678676605,0.7464927291045846
85187,0,0.7228648662567139,0.6952467909049109
85299,0,0.3444366157054901,0.6392583640027619
86837,0,0.4066239893436432,0.6588997423718388
87835,0,0.6599482893943787,0.6020889458147877
87902,0,0.24908195436000824,0.5829606482798475
88943,1,0.16641826927661896,0.6669410423718046
89149,1,1.0,1.0
90102,1,0.24718046188354492,0.5268734683286975
90625,0,0.0499250628054142,0.44674393393113254
91738,0,0.5593750476837158,0.7696992916175267
92350,1,0.752609133720398,0.6297613898019045
92661,0,0.21912941336631775,0.589924868497544
93228,0,0.5810623168945312,0.6380687028606862
93292,1,0.498019814491272,0.6541772712620947
94448,0,0.30260491371154785,0.6963439391964288
95926,1,0.5615065693855286,0.6917949840582392
97989,1,1.0,1.0
98736,0,1.0,0.12827911489727473
99150,1,1.0,1.0
99769,1,0.6664950847625732,0.6649553158697168
100546,1,0.6165505051612854,0.5892899194684357
101082,1,0.938746452331543,0.5018904714243901
101526,1,1.0,0.09724910707443712
101738,1,0.9691989421844482,0.4977836425815756
102041,1,0.732828676700592,0.7426291098279887
102488,0,0.38413500785827637,0.6091110022283894
102629,0,0.4925321042537689,0.7456387165769011
102689,1,0.9434930682182312,0.5946001054826162
104241,1,0.7785047292709351,0.5429522474889253
104269,0,0.5117735862731934,0.6887314781344724
105586,1,0.7473644614219666,0.6432244131052064
105881,0,0.574276328086853,0.6845850672367155
107292,0,0.32635653018951416,0.6718696036711079
108737,0,0.3930394947528839,0.6591080183366642
109018,0,0.9998419284820557,0.175649259914608
109049,0,0.5032811164855957,0.6923794004195976
109090,0,0.5072099566459656,0.6480505151764177
109468,0,0.44585156440734863,0.5877984373188472
109655,0,1.0,0.17919491103856822
109880,1,1.0,0.08255123941966291
110270,1,1.0,1.0
111111,0,0.34824830293655396,0.7107090399024883
111312,1,0.8924204111099243,0.6230110689841627
112047,0,0.93605637550354,0.7458310892033937
